codigo,titulo,autor,origen,comision,tema,iniciativa,link
234/17,POR MEDIO DE LA CUAL SE ESTABLECEN ASPECTOS LABORALES Y OPERATIVOS A LA MODALIDAD DE HOGARES SUSTITUTOS Y TUTORES DEL INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR Y SE DICTAN OTRAS DISPOSICIONES.,ÁNGEL CUSTODIO CABRERA BÁEZ|SANVILLADIEGO,SENADO DE LA REPUBLICA,SEPTIMA,LABORAL,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/240
239/17,POR MEDIO DE LA CUAL SE MODIFICA EL ARTÍCULO 446 DE  LA LEY 599 DE 2000,ROSMERY MARTÍNEZ ROSALES,SENADO DE LA REPUBLICA,PRIMERA,PENAL,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/245
236/17,POR LA CUAL SE OTORGAN FACULTADES EXTRAORDINARIAS PRO TÉMPORE  AL PRESIDENTE DE LA REPÚBLICA PARA EXPEDIR UN RÉGIMEN LABORAL ESPECIAL PARA LOS SERVIDORES PÚBLICOS DE LAS EMPRESAS SOCIALES DEL ESTADO DEL NIVEL NACIONAL Y TERRITORIAL Y PARA EXPEDIR EL SISTEMA ESPECÍFICO DE CARRERA ADMINISTRATIVA DEL PERSONAL QUE PRESTA SUS SERVICIOS EN LAS ENTIDADES QUE INTEGRAN EL SISTEMA NACIONAL DE CIENCIA TECNOLOGÍA E INNOVACIÓN Y LA EXPEDICIÓN DEL SISTEMA DE ESTÍMULOS CAPACITACIÓN Y SITUACIONES ADMINISTRATIVAS ESPECIALES DE LOS SERVIDORES PÚBLICOS VINCULADOS A TALES ENTIDADES Y SE DICTAN OTRAS DISPOSICIONES,ALEJANDRO GAVIRIA URIBE,SENADO DE LA REPUBLICA,SEPTIMA,LABORAL,GUBERNAMENTAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/242
237/17,POR MEDIO DE LA CUAL SE REGULA EL FUNCIONAMIENTO DE LOS BIOBANCOS CON FINES DE INVESTIGACIÓN BIOMÉDICA Y SE DICTAN OTRAS DISPOSICIONES.,GERMAN VARON COTRINO|ANTONIO JOSE CORREA JIMENEZ|JORGE IVAN OSPINA,SENADO DE LA REPUBLICA,SEPTIMA,SALUD,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/243
238/17,POR MEDIO DE LA CUAL LA NACIÓN Y EL CONGRESO DE LA REPÚBLICA SE ASOCIAN A LA CONMEMORACIÓN DEL BICENTENARIO DEL MUNICIPIO DE RIOSUCIO EN EL DEPARTAMENTO DE CALDAS SE LE RINDEN HONORES Y SE DICTAN OTRAS DISPOSICIONES.,OSCAR MAURICIO LIZCANO ARANGO,SENADO DE LA REPUBLICA,SEGUNDA,HONORES,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/244
240/17,POR MEDIO DE LA CUAL SE ESTABLECEN LAS REGLAS DEL SISTEMA NACIONAL DE PROMOCIÓN  Y PROTECCIÓN DE PROMESAS DEPORTIVAS,ROSMERY MARTÍNEZ ROSALES,SENADO DE LA REPUBLICA,SEPTIMA,DEPORTE,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/246
241/17,POR MEDIO DE LA CUAL SE PROHIBE LA MATERNIDAD SUBROGADA CON FINES DE LUCRO EN COLOMBIA Y SE REGLMENTA SU PRACTICA.,MARIA DEL ROSARIO GUERRA DE LA ESPRIELLA|SANTIAGO VALENCIA GONZALEZ,CÁMARA DE REPRESENTANTES,PRIMERA,SALUD,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/247
242/17,POR LA CUAL LA NACIÓN RINDE PÚBLICO HOMENAJE Y SE VINCULA A LA CELEBRACIÓN DEL SESQUICENTENARIO DE FUNDACIÓN DE LA UNIVERSIDAD NACIONAL DE COLOMBIA Y SE DICTAN OTRAS DISPOSICIONES,ÁNGEL CUSTODIO CABRERA BAEZ |ARLETH PATRICIA CASADO DE LOPEZ|OLGA SUÁREZ MIRA |OLGA LUCIA VELÁSQUEZ NIETO|KELYN JOHANA GONZÁLEZ DUARTE,SENADO DE LA REPUBLICA,TERCERA,HONORES,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/248
243/17,POR MEDIO DE CUAL SE CREA EL FONDO NACIONAL DE RESIDENCIAS MÉDICAS Y SE REGLAMENTA EL SISTEMA DE RESIDENCIAS MÉDICAS EN COLOMBIA,SARA PIEDRAHITA LYONS,SENADO DE LA REPUBLICA,SEPTIMA,SALUD,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/249
244/17,POR MEDIO DE LA CUAL SE ADICIONA EL ARTÍCULO 397A Y SE MODIFICAN LOS ARTÍCULOS 399A 400A Y 415 DE  LEY 599 DE 2000 Y LOS ARTÍCULOS 202 Y 205 DE LA LEY 906 DE 2004,EVERTH BUSTAMANTE GARCÍA|HONORIO MIGUEL HENRÍQUEZ PINEDO|ALVARO URIBE VELEZ,SENADO DE LA REPUBLICA,PRIMERA,JURIDICO,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/250
245/17,POR MEDIO DE LA CUAL SE ADICIONA UN ARTÍCULO NUEVO A LA LEY 4 DE 1992,ÁNGEL CUSTODIO CABRERA BÁEZ|GERMÁN ALCIDES BLANCO ÁLVAREZ,SENADO DE LA REPUBLICA,SEPTIMA,JURIDICO,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/251
246/17,POR LA CUAL LA NACIÓN SE VINCULA A LA CELEBRACIÓN DE LOS CIENTO CINCUENTA (150) AÑOS DE EXISTENCIA DE LA FACULTAD DE DERECHO CIENCIAS POLÍTICAS Y SOCIALES DE LA UNIVERSIDAD NACIONAL  Y SE DICTAN OTRAS DISPOSICIONES.,LUIS FERNANDO DUQUE GARCIA,SENADO DE LA REPUBLICA,SEGUNDA,HONORES,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/252
247/17,POR MEDIO DE LA CUAL SE APRUEBA EL «PROTOCOLO DE NAGOYA - KUALA LUMPUR SOBRE RESPONSABILIDAD Y COMPENSACIÓN SUPLEMENTARIO AL PROTOCOLO DE CARTAGENA SOBRE SEGURIDAD DE LA BIOTECNOLOGÍA» ADOPTADO EN NAGOYA EL 15 DE OCTUBRE DE 2010.”,MARÍA ANGELA HOLGUÍN CUELLAR|AURELIO IRAGORRI VALENCIA|LUIS GILBERTO MURILLO|ALEJANDRO GAVIRIA URIBE,SENADO DE LA REPUBLICA,SEGUNDA,HONORES,GUBERNAMENTAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/253
248/17,POR MEDIO DE LA CUAL SE MODIFICA LA LEY 1801 DE 2016 Y SE DICTAN OTRAS DISPOSICIONES.,BENEDETTI VILLANEDA ARMANDO ALBERTO,SENADO DE LA REPUBLICA,2017-05-15,PRIMERA,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/254
249/17,POR MEDIO DE LA CUAL SE CREA EL REGISTRO DE  DEUDORES ALIMENTARIOS MOROSOS – REDAM – Y SE DICTAN OTRAS DISPOSICIONES.,MARITZA MARTÍNEZ ARISTIZÁBAL|DAIRA DE JESUS GALVIS MENDEZ|OSCAR MAURICIO LIZCANO ARANGO|MANUEL MESIAS ENRIQUEZ ROSERO,SENADO DE LA REPUBLICA,2017-05-16,PRIMERA,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/255
250/17,POR MEDIO DE LA CUAL SE REGLAMENTA LA ENAGENACIÓN DE LA PARTICIPACIÓN DE LA NACIÓN EN EL CAPITAL SOCIAL DE LAS EMPRESAS Y SE DICTAN OTRAS DISPOSICIONES.,VIVIANE MORALES HOYOS|SOFIA GAVIRIA CORREA|ALEXANDER LOPEZ MAYA,SENADO DE LA REPUBLICA,2017-05-17,PRIMERA,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/256
